review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
rev_001,order_001,4,Great product!,Loved it!,2023-12-13 00:42:55.000000,2023-11-24 08:37:49.000000
rev_002,order_002,2,Great product!,Loved it!,2023-12-02 16:21:50.000000,2023-11-21 05:36:24.000000
rev_003,order_003,3,Great product!,Loved it!,2023-09-06 02:02:54.000000,2023-12-16 16:24:12.000000
rev_004,order_004,4,Great product!,Loved it!,2023-12-02 01:50:37.000000,2023-09-03 07:09:45.000000
rev_005,order_005,1,Great product!,Loved it!,2023-08-30 07:53:12.000000,2023-08-02 08:27:01.000000
rev_006,order_006,3,Great product!,Loved it!,2023-10-22 17:42:35.000000,2023-08-19 20:31:32.000000
rev_007,order_007,3,Great product!,Loved it!,2023-08-08 12:57:32.000000,2023-08-11 09:27:18.000000
rev_008,order_008,5,Great product!,Loved it!,2023-09-06 17:42:47.000000,2023-10-23 12:42:06.000000
rev_009,order_009,2,Great product!,Loved it!,2023-10-15 22:34:17.000000,2023-08-20 21:01:55.000000
rev_010,order_010,2,Great product!,Loved it!,2023-09-19 10:59:49.000000,2023-11-26 00:45:09.000000
rev_011,order_011,4,Great product!,Loved it!,2023-10-03 17:41:30.000000,2023-09-25 02:30:03.000000
rev_012,order_012,4,Great product!,Loved it!,2023-11-16 14:06:37.000000,2023-10-09 18:07:22.000000
rev_013,order_013,1,Great product!,Loved it!,2023-12-26 23:04:11.000000,2023-12-04 11:52:42.000000
rev_014,order_014,4,Great product!,Loved it!,2023-11-15 15:56:48.000000,2023-09-27 18:24:12.000000
rev_015,order_015,2,Great product!,Loved it!,2023-12-03 14:56:26.000000,2023-09-03 13:43:59.000000
rev_016,order_016,2,Great product!,Loved it!,2023-11-14 02:20:33.000000,2023-08-06 01:43:04.000000
rev_017,order_017,4,Great product!,Loved it!,2023-09-25 18:17:23.000000,2023-10-12 12:02:30.000000
rev_018,order_018,4,Great product!,Loved it!,2023-09-26 20:37:13.000000,2023-10-29 08:03:49.000000
rev_019,order_019,1,Great product!,Loved it!,2023-11-02 16:43:54.000000,2023-12-29 17:59:42.000000
rev_020,order_020,3,Great product!,Loved it!,2023-10-18 04:17:20.000000,2023-11-27 07:42:42.000000
rev_021,order_021,4,Great product!,Loved it!,2023-12-15 09:49:31.000000,2023-11-03 16:40:03.000000
rev_022,order_022,4,Great product!,Loved it!,2023-08-20 01:27:05.000000,2023-09-11 11:44:22.000000
rev_023,order_023,3,Great product!,Loved it!,2023-09-24 03:41:59.000000,2023-12-05 14:07:41.000000
rev_024,order_024,5,Great product!,Loved it!,2023-09-05 11:25:07.000000,2023-08-22 00:19:04.000000
rev_025,order_025,4,Great product!,Loved it!,2023-10-25 15:46:46.000000,2023-11-09 16:44:36.000000
rev_026,order_026,5,Great product!,Loved it!,2023-11-27 08:21:31.000000,2023-12-02 07:37:14.000000
rev_027,order_027,5,Great product!,Loved it!,2023-09-02 18:38:02.000000,2023-08-16 16:19:05.000000
rev_028,order_028,3,Great product!,Loved it!,2023-09-26 01:58:27.000000,2023-10-30 14:32:30.000000
rev_029,order_029,1,Great product!,Loved it!,2023-12-20 15:34:53.000000,2023-11-26 06:33:50.000000
rev_030,order_030,2,Great product!,Loved it!,2023-11-21 03:31:13.000000,2023-08-29 04:31:42.000000
rev_031,order_031,2,Great product!,Loved it!,2023-08-16 20:29:11.000000,2023-08-07 08:07:35.000000
rev_032,order_032,3,Great product!,Loved it!,2023-11-26 12:26:50.000000,2023-10-14 08:11:43.000000
rev_033,order_033,2,Great product!,Loved it!,2023-08-02 01:32:11.000000,2023-08-31 01:44:26.000000
rev_034,order_034,3,Great product!,Loved it!,2023-11-07 07:54:58.000000,2023-09-19 07:37:15.000000
rev_035,order_035,2,Great product!,Loved it!,2023-10-16 08:42:04.000000,2023-08-24 00:10:46.000000
